"LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","BAD"
33500,240157,42013,"DebtCon","Mgr",3,0,2,201.61229884,2,50,41.644794258,0
8400,53841,64284,"DebtCon","Other",15,0,3,206.35456436,0,36,26.054853712,0
9100,59430,76897,"HomeImp","Other",5,0,1,246.09510911,1,16,37.470923376,0
32300,194350,299720,"DebtCon","Other",28,0,0,170.19686736,0,23,40.251510027,0
11000,43614,NA,"DebtCon","Other",3,0,2,84.444746145,0,20,36.673648152,0
28900,29515,49525,"DebtCon","Other",36,0,0,288.65624667,0,24,39.60580772,0
46900,91672,158953,"DebtCon","Other",16,0,0,NA,8,19,38.109227516,0
22400,38669,105881,"HomeImp","Other",6,0,0,125.24284167,0,14,32.778270828,0
9700,59633,70398,"HomeImp","Other",4,0,0,239.03820584,1,16,38.867248989,0
11800,86785,125552,"DebtCon","Office",11,0,0,148.17649241,1,22,37.884449327,0
26700,18590,53462,"DebtCon","Other",25,0,0,111.99557084,1,11,22.959806769,0
12600,76002,94236,"DebtCon","Other",11,0,0,164.76230423,5,21,39.52570494,0
10700,55043,68609,"DebtCon","Other",2,0,0,NA,1,17,25.448844532,1
12700,72164,104220,"DebtCon","Office",10,0,0,165.4307821,0,13,37.539963363,0
12600,71370,90316,"HomeImp","Office",26,0,0,162.3574415,2,14,39.875483802,0
19700,70709,97394,"DebtCon","Mgr",0,0,0,94.860466383,0,17,25.556707636,0
16700,64862,107919,"HomeImp","ProfExe",10,0,0,260.15854779,0,11,36.824339033,0
15300,101311,113253,"DebtCon","Other",0,0,0,140.07577118,1,21,40.667462294,0
20200,82181,119535,"DebtCon","Office",41,0,0,105.21929675,3,28,52.734860612,1
13700,70763,78449,"DebtCon","Office",12,0,0,271.65672425,5,36,40.561983645,0
20200,88020,139200,"DebtCon","Other",10,0,0,99.04640244,3,15,39.916957294,0
7300,55456,86766,"HomeImp","ProfExe",6,0,0,240.05677145,2,23,31.724698502,0
27400,195497,246354,"DebtCon","Other",8,0,0,89.264427411,1,25,39.664822994,0
11100,35782,45550,"HomeImp","Other",8,0,0,109.28434579,0,3,36.159805919,0
18400,63569,95729,"HomeImp","ProfExe",23,0,0,237.2759487,0,23,38.41536702,0
14700,47177,68456,"HomeImp","ProfExe",3,0,0,193.68506884,2,18,34.542533238,0
11200,44966,55114,"DebtCon","Office",1,0,0,173.96189741,1,21,37.456622102,0
14600,51613,77912,"DebtCon","Office",0,0,0,182.88257536,0,25,32.224452406,0
17700,93302,116668,"DebtCon","Other",20,0,0,283.04094598,0,16,25.225910201,0
9800,52973,65481,"HomeImp","Other",10,0,0,101.47266767,2,33,36.878297002,0
10700,55341,78062,"HomeImp","Other",3,0,1,192.59685455,0,12,28.828649308,0
8700,60237,69891,"DebtCon","Other",3,0,0,321.2748292,0,9,32.280313622,0
20800,107379,147014,"HomeImp","ProfExe",10,0,0,161.53748239,1,22,31.925329416,0
12900,64245,NA,"DebtCon","Office",13,0,0,246.8377195,3,36,40.560130328,0
22900,95321,123082,"DebtCon","Self",3,0,0,205.44151908,2,26,34.05349114,0
18700,66197,NA,"HomeImp","ProfExe",12,0,2,157.94598178,0,14,29.349485795,0
9300,84900,105798,"DebtCon","ProfExe",2,0,0,41.807204596,1,3,26.956697896,1
25700,31333,56733,"DebtCon","Other",13,0,0,97.086150555,2,25,30.619786755,0
9900,59206,75690,"HomeImp","Office",6,0,2,288.39505854,1,19,30.776027864,1
20200,51588,121752,"DebtCon","ProfExe",14,0,0,253.24896672,0,20,26.43068063,0
25900,42105,73249,"DebtCon","Other",2,0,0,109.21115611,3,22,31.809085921,1
18900,127269,203737,"HomeImp","ProfExe",14,0,0,206.20003676,0,21,36.272858359,0
24900,89530,146815,"DebtCon","ProfExe",19,1,0,164.77031037,1,25,39.345858588,0
26300,147600,NA,"DebtCon","ProfExe",5,0,0,310.34814574,0,35,38.235086271,0
