"";"Идентификатор";"Комнатность";"Новостройка";"Метро.Район";"Время.до.метро";"Этаж";"Этажность";"Площадь.общая"
"1";24016418;1;"Нет";"Киевская";15;4;9;21
"2";23454997;1;"Нет";"Киевская";10;5;5;31
"3";23697825;1;"Нет";"Марксистская";10;5;5;32
"4";23712199;1;"Нет";"Марксистская";5;1;9;36
"5";23701679;2;"Нет";"Таганская";10;5;5;41
"6";23970021;3;"Нет";"Киевская";NA;4;9;53
"7";23720877;1;"Нет";"Таганская";15;4;5;32
"8";24042343;1;"Нет";"Павелецкая";10;8;9;32
"9";21047013;1;"Нет";"Таганская";10;3;5;36
"10";23923218;1;"Нет";"Киевская";26;2;9;33
"11";23652864;1;"Нет";"Таганская";10;4;9;32
"12";23720472;2;"Нет";"Комсомольская";20;9;12;42
"13";23787247;1;"Нет";"Киевская";15;1;17;38
"14";23960885;2;"Нет";"Таганская";15;5;9;38
"15";23905868;2;"Нет";"Марксистская";12;2;9;35
"16";23953154;1;"Нет";"Таганская";10;2;12;35
"17";24052400;1;"Нет";"Проспект Мира";10;5;5;35
"18";23963748;1;"Нет";"Павелецкая";15;1;14;35
"19";21481788;5;"Нет";"Парк культуры";3;2;6;139
"20";22897293;1;"Нет";"Таганская";10;8;17;35
"21";23721167;2;"Нет";"Павелецкая";10;9;9;37
"22";23864464;1;"Нет";"Проспект Мира";5;1;9;33
"23";23963904;1;"Нет";"Таганская";15;3;7;32
"24";24042641;1;"Нет";"Павелецкая";NA;NA;NA;NA
"25";24010479;1;"Нет";"Чеховская";10;4;4;19
"26";23144670;1;"Нет";"Киевская";10;9;9;32
"27";23712140;1;"Нет";"Таганская";15;3;9;33
"28";23686705;2;"Нет";"Киевская";14;2;9;38
"29";23866662;3;"Нет";"Таганская";15;3;14;56
"30";24043288;1;"Нет";"Сухаревская";3;1;5;29
"31";24037142;2;"Нет";"Киевская";10;9;10;41
"32";23571277;1;"Нет";"Проспект Мира";4;5;6;30
"33";23560312;1;"Нет";"Таганская";5;5;17;52
"34";24043598;2;"Нет";"Таганская";7;12;12;45
"35";23653093;2;"Нет";"Таганская";10;5;5;44
"36";23435426;1;"Нет";"Таганская";10;3;14;36
"37";24014642;1;"Нет";"Киевская";10;7;12;35
"38";23983043;2;"Нет";"Таганская";10;2;5;40
"39";23819031;2;"Нет";"Киевская";15;10;10;40
"40";23817937;2;"Нет";"Киевская";5;6;10;41
"41";20455322;2;"Нет";"Таганская";10;11;16;50
"42";23687272;2;"Нет";"Киевская";10;1;12;44
"43";23961050;1;"Нет";"Китай-город";10;2;5;29
"44";24037004;2;"Нет";"Киевская";10;6;14;38
"45";24036931;3;"Нет";"Павелецкая";25;9;16;70
"46";23694262;1;"Нет";"Таганская";10;3;12;39
"47";23961189;1;"Нет";"Таганская";10;2;5;29
"48";23749729;2;"Нет";"Киевская";10;3;5;43
"49";23963840;1;"Нет";"Цветной бульвар";10;2;4;18
"50";24042912;1;"Нет";"Менделеевская";7;8;14;32
"51";23963962;2;"Нет";"Новослободская";7;5;5;46
"52";23509043;1;"Нет";"Павелецкая";5;12;14;39
"53";23454918;1;"Нет";"Киевская";10;6;16;34
"54";23798982;2;"Нет";"Белорусская";5;1;4;43
"55";24009486;1;"Да";"Добрынинская";10;5;29;48
"56";24043129;1;"Нет";"Павелецкая";7;16;16;38
"57";24009487;1;"Да";"Добрынинская";10;11;29;49
"58";24037109;1;"Нет";"Белорусская";3;2;8;36
"59";24043742;2;"Нет";"Менделеевская";10;4;5;46
"60";24036918;2;"Нет";"Таганская";10;11;16;50
"61";23718650;2;"Нет";"Добрынинская";10;1;9;47
"62";23718651;2;"Нет";"Серпуховская";10;1;9;47
"63";24013888;2;"Нет";"Таганская";5;3;12;48
"64";23953192;1;"Нет";"Таганская";10;5;25;40
"65";23912981;1;"Нет";"Проспект Мира";1;1;9;41
"66";23652752;1;"Нет";"Белорусская";3;6;8;30
"67";23687237;3;"Нет";"Павелецкая";10;5;9;60
"68";20988562;1;"Нет";"Марксистская";10;11;18;39
"69";22764044;2;"Нет";"Курская";10;2;6;56
"70";23152678;3;"Нет";"Киевская";10;9;16;68
"71";24022840;1;"Нет";"Киевская";5;6;9;33
"72";23960833;1;"Нет";"Киевская";5;2;9;30
"73";23313719;1;"Нет";"Третьяковская";10;2;5;30
"74";23642984;1;"Нет";"Цветной бульвар";7;3;NA;33
"75";23734183;1;"Нет";"Сухаревская";7;4;4;44
