"client_id","Sex","WorkPlace","Income","Age","NumDependents","NumLoans","NumRealEstateLoans","BalanceToCreditLimit","Num30_59Delinquencies","Num60_89Delinquencies","DIR","SeriousDelinquencies"
35213,"female","other",11225,55.3,1,17,"0",0.006378,0,0,0.07849,"-"
51456,"male","private-company",7082,51.3,1,5,"0",0.536202,1,0,0.270392,"+"
44139,"male","self-employed",6272,26.1,0,3,"0",0,0,0,0.000644,"+"
17987,"male","government-org",2520,28,1,8,"0",0.44851,0,0,0.451646,"-"
56905,"female","private-company",NA,57.3,0,7,"0",0.079797,0,0,67.622242,"-"
41192,"female","private-company",NA,45,1,6,"1",0.102566,0,0,2902.832476,"-"
7582,"female","private-company",NA,29,0,3,"0",0,0,0,199.419743,"-"
32949,"male","private-company",15050,44.2,2,8,"1",0.057864,0,0,0.289543,"-"
32623,"female","private-company",12287,50.4,3,11,"2",0.195103,0,0,0.324202,"-"
73876,"female","private-company",2239,31.2,0,6,"0",0.725129,0,0,0.373404,"-"
59046,"male","government-org",7862,89.4,0,4,"0",0.021133,0,0,0.005025,"-"
51631,"male","private-company",5517,41.1,5,4,"1",0.850187,0,0,0.28198,"-"
5947,"female","private-company",NA,41.1,0,3,"0",0.045308,0,0,73.061857,"-"
5362,"female","government-org",3016,50.3,0,4,"0",0.622381,0,0,0.359,"-"
46433,"female","private-company",NA,60.2,0,9,"0",0.019948,0,0,41.079715,"-"
39209,"male","private-company",2178,49.1,0,10,"1",0.024048,0,0,1.769692,"-"
68465,"male","government-org",5643,76.3,0,11,"3",0.128537,0,0,0.236163,NA
8052,"female","government-org",NA,46.1,0,8,"1",0.063315,0,0,1476.175202,"-"
38878,"female","private-company",2419,45.4,1,11,"1",0,0,0,1.356931,"-"
1700,"male","private-company",NA,57.3,0,6,"0",0.031836,0,0,64.15984,"-"
4026,"male","private-company",4630,33.3,3,3,"0",1.00502,0,0,0.258154,"-"
64215,"female","other",15120,44.3,2,5,"1",1.000522,0,0,0.318582,"-"
49047,"female","government-org",5527,62.3,0,20,"1",0.003062,0,0,0.298038,"-"
71942,"male","private-company",NA,28.2,0,3,"0",1.008371,0,0,505.839194,"-"
67322,"male","private-company",NA,52.1,0,10,"2",0.064821,0,0,3634.691308,"-"
24989,"female","private-company",4820,43.4,1,10,"1",0.226568,2,0,0.299634,"-"
